Accession,ALL 19769 TA+ Norel,ALL 406 TA+ (ML) Norel,ALL 4466 Norel,ALL 1245 TA- Norel,ALL 16125 TA- Norel,ALL 23368 TA- Norel,ALL R28 (ML) Relap,ALL 1234 ML,ALL 1305 ML,ALL 1421 ML,ALL 1425 ML,ALL 1486 ML,ALL 1457 ML,ALL 1256 TA+ (ML) Norel,ALL 1275 TA+ (ML) Norel,ALL 1101 TA- (ML) Norel,ALL 1319 TA- (ML) Norel,ALL 522 TA- (ML) Norel,ALL SH 6,ALL SH 12,ALL SH 15,AML 15 (PK) Norel,AML 19 (PK) Norel,AML 10 (PK) Relap,AML 9 (PK) Relap,AML SH 5,AML SH 13,AML SH 14,AML SH 16,AML SH 18,AML 17 ML,AML 25 ML,AML 11 (ML),AML 12 (ML),AML 5 (ML) Relap,"
"
hum_alu_at,15091,45815,20958,25880,41275,11195,21777,28991,42401,27924,21229,29189,29906,20288,23462,19457,17499,24611,43084,49419,49084,20658,19266,37749,18595,31068,38690,58203,31022,36915,22818,39323,15689,41570,39538,"
"
AB000460_at,1647,2573,1963,1082,1548,2222,2867,2548,884,1128,1604,785,1249,1300,1541,1910,1813,1505,1333,1993,1232,714,2496,1617,1978,1783,1481,1947,1502,2316,1397,1030,2656,3570,1844,"
"
AB003102_at,551,461,537,868,432,1263,750,615,545,252,439,349,165,462,634,904,764,619,401,499,269,141,1571,697,672,467,410,429,288,526,411,708,674,805,512,"
"
AC002115_cds1_at,2236,3089,2364,2152,3038,4192,4041,3313,2805,2920,2714,1253,2110,1777,2687,3998,3027,1718,2596,1923,1601,9268,3436,2212,2291,3852,2350,3066,2880,3110,3510,3927,5404,1667,3920,"
"
D00762_at,645,395,376,399,516,1687,430,646,319,475,309,313,284,511,481,1127,1336,476,504,339,625,98,804,380,573,467,442,306,401,457,346,586,691,490,386,"
"
D00763_at,1324,905,1456,913,2008,4608,2495,1895,1305,1574,1181,905,1172,688,791,4330,2301,892,1100,695,1159,1490,1227,526,737,1710,591,726,1129,1090,978,1766,1711,1314,1193,"
"
D11086_at,1497,1122,1619,2062,762,2343,2310,1421,665,756,979,937,1197,1088,898,3897,1762,1462,861,2193,2562,537,777,1118,2127,1647,630,1168,1029,3619,805,1573,403,1922,1827,"
"
D13118_at,3245,2768,4058,2668,3339,3561,4366,2268,1728,1670,1874,1877,1605,1905,2107,2739,3120,2484,2793,2062,1644,2901,5283,3487,2899,2634,2285,2763,1950,2681,2508,2303,4103,7344,3396,"
"
D13370_at,2028,1366,1933,1252,2284,3931,1398,2020,1050,1303,1953,1953,1454,1129,1237,2795,3292,1388,1767,1501,1845,676,1793,897,2017,2703,1684,1050,1433,682,1401,1543,2381,2141,785,"
"
D13748_at,2434,3225,4583,4543,6713,6817,3846,5425,3922,4062,6524,5885,3726,3051,3568,7000,10632,3313,4586,2968,1540,6702,11217,4923,7417,8824,5110,5659,3771,6805,4417,5483,9071,5186,4056,"
"
