Accession,ALL_19769_B-cell,ALL_23953_B-cell,ALL_28373_B-cell,ALL_9335_B-cell,ALL_9692_B-cell,ALL_14749_B-cell,ALL_17281_B-cell,ALL_19183_B-cell,ALL_20414_B-cell,ALL_21302_B-cell,ALL_549_B-cell,ALL_17929_B-cell,ALL_20185_B-cell,ALL_11103_B-cell,ALL_18239_B-cell,ALL_5982_B-cell,ALL_7092_B-cell,ALL_R11_B-cell,ALL_R23_B-cell,ALL_16415_T-cell,ALL_19881_T-cell,ALL_9186_T-cell,ALL_9723_T-cell,ALL_17269_T-cell,ALL_14402_T-cell,ALL_17638_T-cell,ALL_22474_T-cell,AML_12,AML_13,AML_14,AML_16,AML_20,AML_1,AML_2,AML_3,AML_5,AML_6,AML_7,"
"
AB000460_at,1647,2128,1608,1784,2911,1438,2256,1770,1732,3170,1288,1515,2701,1405,1839,2270,1403,1479,2324,2043,1996,1354,2116,1408,2116,1772,1435,2413,1632,1971,2043,1825,2175,976,1767,1939,1461,2816,"
"
AB003102_at,551,654,756,467,1014,304,881,925,480,1159,583,348,1235,326,541,791,387,366,627,739,884,769,842,439,1368,704,534,698,372,807,1145,618,586,467,683,750,600,742,"
"
AB003177_at,588,652,999,764,614,196,637,609,647,610,342,278,1296,442,500,1043,364,603,858,781,1044,576,1321,494,1168,728,415,628,637,781,965,598,517,635,857,561,296,789,"
"
AC002115_cds1_at,2236,3083,3569,2478,2905,3397,2711,4572,3307,5052,2585,2288,7632,1310,2063,3440,3634,3335,2959,5198,4261,2832,4692,3192,3621,3055,2557,3767,2269,4238,3274,3246,3000,3393,5940,2919,1733,2319,"
"
AF007875_at,260,361,389,283,203,201,544,461,373,257,269,264,1156,778,186,600,156,127,292,362,400,156,310,265,309,282,156,209,108,262,300,268,279,310,441,275,156,228,"
"
D00762_at,645,770,1202,677,337,334,1097,857,622,454,654,472,1693,590,286,1072,242,240,574,782,1119,444,688,570,802,685,371,419,331,521,741,543,630,678,675,570,479,963,"
"
D00763_at,1324,1415,2076,1513,921,632,3365,1907,2398,1404,794,2090,6519,2912,500,2411,470,1509,1855,2304,2676,953,3038,1620,1113,1781,979,816,714,1106,673,546,814,1076,1360,1161,659,474,"
"
D13118_at,3245,3827,3814,3540,3731,2940,3016,2834,2459,3478,1794,2807,5161,2516,3133,3124,2270,2477,3682,2925,4091,3070,3820,2747,2481,3406,2583,3901,3772,4405,3448,3415,3684,1625,3102,3970,3197,3363,"
"
D13370_at,2028,2650,3255,1429,1430,926,2566,2288,1962,2753,1336,1665,5909,1569,1614,3047,1060,1396,1698,1732,2518,1666,3078,1349,2175,2329,1138,1539,1322,782,1395,1090,1933,1476,2065,2256,1081,1398,"
"
D13630_at,667,596,786,589,533,432,651,523,518,466,231,228,2298,1512,525,971,369,285,686,951,1119,295,1277,511,705,631,463,384,317,513,1012,240,492,470,758,625,453,775,"
"
D14530_at,16642,18849,20259,19386,14496,17433,17886,17094,18772,18636,16457,20806,21409,26343,18048,19439,15738,19921,20593,15527,19487,11800,18721,18373,18048,16647,11654,21381,17870,16613,18004,16181,19127,14755,19629,14924,15402,22556,"
"
