Accession,ALL_19769_B-cell,ALL_23953_B-cell,ALL_28373_B-cell,ALL_9335_B-cell,ALL_9692_B-cell,ALL_14749_B-cell,ALL_17281_B-cell,ALL_19183_B-cell,ALL_20414_B-cell,ALL_21302_B-cell,ALL_549_B-cell,ALL_17929_B-cell,ALL_20185_B-cell,ALL_11103_B-cell,ALL_18239_B-cell,ALL_5982_B-cell,ALL_7092_B-cell,ALL_R11_B-cell,ALL_R23_B-cell,ALL_16415_T-cell,ALL_19881_T-cell,ALL_9186_T-cell,ALL_9723_T-cell,ALL_17269_T-cell,ALL_14402_T-cell,ALL_17638_T-cell,ALL_22474_T-cell,AML_12,AML_13,AML_14,AML_16,AML_20,AML_1,AML_2,AML_3,AML_5,AML_6,AML_7,"P-VALUE
"
X59417_at,3016,3821,5216,5527,2073,846,7743,7288,6084,2454,1273,6483,7626,5746,699,3840,3877,3262,1810,3424,7721,4194,7780,5206,6540,1756,2461,782,490,1650,528,99,1203,1561,1628,1783,1214,1582,9.72474137078553E-08
D38073_at,994,680,950,509,331,314,1991,1030,675,1730,762,800,1158,1185,141,1145,521,700,456,539,1441,1258,1973,664,884,1062,773,238,382,245,267,342,832,294,148,309,259,256,2.6541237623373E-06
Z15115_at,8444,4261,3425,3810,6152,1277,6216,5831,5618,3712,1616,4694,11237,9114,2572,6110,2242,3074,5373,1920,3117,1790,3302,1330,2524,3382,1613,2272,1082,2010,802,939,1238,967,1364,1568,1843,936,3.89273811324369E-06
M31303_rna1_at,3828,3780,3563,3330,4212,2290,4751,3347,3207,6630,2143,2292,5931,2306,2131,3182,2909,2648,2817,3021,7245,4890,7228,5054,3352,2346,4712,1648,2195,1888,1359,1291,2176,1486,730,3719,1985,1527,5.55460153376521E-06
U20998_at,1753,1486,2298,898,1586,426,2151,2901,2523,3295,954,1147,4698,2914,1000,2298,498,753,672,1602,2760,1013,2334,878,2016,2263,1131,408,528,698,786,845,824,1175,440,651,659,580,7.41494787731006E-06
D63874_at,4157,8484,9575,6270,4566,4037,12920,11506,11090,13767,4845,8501,13825,16492,9603,12848,5612,10574,4577,11557,12121,5315,10058,7198,7021,6555,5519,5819,5407,4498,3762,6603,6977,4207,4640,3998,2792,2822,8.38803264696605E-06
U29175_at,1582,743,626,552,572,219,1322,1636,2076,917,453,1661,2173,3707,295,1456,404,1982,949,624,753,1157,1775,756,1972,732,1387,454,391,412,393,286,428,314,208,385,687,248,9.97930787969304E-06
M13792_at,3221,5364,2837,6067,3103,1695,4765,9000,10228,8464,2091,2274,12213,2973,1743,5981,2425,3323,2617,10954,16523,16135,15230,8986,8629,3529,12900,912,2551,1299,752,2707,2493,487,769,1613,4148,1445,1.1164138341582E-05
J03473_at,2018,2291,2796,1829,2497,472,1591,2352,2576,1874,2150,1339,4441,1040,1191,2741,569,2088,1702,650,573,405,1204,325,264,999,583,803,430,604,404,354,841,500,426,871,671,109,1.72258298631263E-05
D86967_at,4346,912,1019,873,2118,970,4856,927,3013,2590,1641,5277,5342,2076,1741,932,2274,3045,793,2554,1854,1184,3044,2119,2520,571,1351,1276,634,1024,723,868,450,383,981,1320,518,685,2.11251944480543E-05
U38846_at,2170,2703,4006,2145,1295,789,2389,3210,2673,3508,2382,2148,6661,1700,566,2613,1271,1969,1370,1407,2048,1250,4200,1613,1850,2680,1255,1162,899,891,965,1145,1563,1029,1374,1235,998,579,3.99706135635176E-05
X51521_at,3989,3637,3245,3321,4252,2952,4956,4438,2005,3780,3429,2568,4758,2264,11799,4330,2358,3872,2065,2774,3692,2272,8349,4432,7186,1806,1491,990,1009,1446,1198,1460,2345,792,2579,1001,2039,3312,4.27708327105422E-05
Z21507_at,1820,1301,2778,278,526,971,3559,4952,3415,2642,1214,2425,6719,4116,1698,3138,1040,3729,583,3141,2787,2178,5658,4568,2945,1573,1615,1135,1262,1559,476,1553,613,1682,1327,159,1489,517,7.09694030322639E-05
M33680_at,5565,11689,10308,9427,4741,4101,7747,10614,6738,4369,3990,4555,12742,11199,7909,14682,3233,5779,7408,5318,2583,2647,5521,3094,4194,3076,4348,1467,1639,2043,2839,3588,3768,947,4575,2584,6412,3195,8.92105248676013E-05
Y00433_at,7546,9491,10367,9862,5885,7798,14517,12831,9547,17789,5040,11238,12045,1387,1726,9198,8571,8671,3059,9601,2917,2263,5917,3389,2128,3531,1891,10231,7848,15634,15257,12466,11792,12354,15956,17123,13056,9888,8.94230191303508E-05
X61970_at,1286,1354,1566,846,617,452,903,1865,1535,1763,1104,805,1923,293,305,1184,600,612,663,874,2111,1262,1399,816,637,1060,805,617,656,747,574,464,627,646,718,670,468,477,9.26202792352176E-05
M33336_at,1801,1192,2206,976,1286,209,1781,1685,1800,2752,1248,601,3970,497,1167,1597,653,721,747,781,1162,442,1432,363,511,1585,271,519,262,501,187,171,341,654,540,651,956,480,0.000124579940441
U77948_at,1114,1685,1502,1278,1545,257,1054,2117,1571,2481,608,513,2627,916,757,2224,580,865,655,1238,1176,691,1166,402,1044,1220,698,546,769,405,407,610,613,484,438,517,1231,190,0.000127864593004
M11147_at,5418,7070,9017,4746,7880,15281,6183,8506,3720,12669,9784,4454,13983,2900,6073,6023,13276,4719,4109,17348,6154,6221,9428,5094,6026,13077,3757,12411,7855,24559,21271,20121,16704,11014,18367,12275,19169,21484,0.00013237779543
X17042_at,177,392,7972,403,140,5252,2408,2133,1232,1150,1232,1519,180,1912,354,1687,3711,1751,290,3460,416,597,848,1094,1343,2525,179,8521,3628,10620,8477,1285,7857,8860,11000,5848,3259,8849,0.000136533758834
