Accession,ALL_19769_B-cell,ALL_23953_B-cell,ALL_28373_B-cell,ALL_9335_B-cell,ALL_9692_B-cell,ALL_14749_B-cell,ALL_17281_B-cell,ALL_19183_B-cell,ALL_20414_B-cell,ALL_21302_B-cell,ALL_549_B-cell,ALL_17929_B-cell,ALL_20185_B-cell,ALL_11103_B-cell,ALL_18239_B-cell,ALL_5982_B-cell,ALL_7092_B-cell,ALL_R11_B-cell,ALL_R23_B-cell,ALL_16415_T-cell,ALL_19881_T-cell,ALL_9186_T-cell,ALL_9723_T-cell,ALL_17269_T-cell,ALL_14402_T-cell,ALL_17638_T-cell,ALL_22474_T-cell,AML_12,AML_13,AML_14,AML_16,AML_20,AML_1,AML_2,AML_3,AML_5,AML_6,AML_7,"P-val
"
HG4036-HT4306_at,2246,1715,856,2095,758,781,967,1061,974,958,1694,475,2425,888,1323,1215,685,1545,3194,1844,2966,2165,1134,1204,989,2186,1343,3253,1348,1262,1203,1865,929,233,903,1211,2072,1875,0.996251117410829
X62055_at,2414,3298,3785,1683,1062,738,1085,2709,2325,1996,844,581,1735,223,431,3143,424,1413,791,2225,2094,1696,3714,1320,1242,3893,987,3111,882,2260,1079,522,964,1753,2268,2872,2487,1249,0.989864692187592
X67247_rna1_at,22121,24116,24471,23569,24961,22805,22140,23118,25435,23798,21446,24886,22440,29644,21561,23256,22814,22486,25114,23042,23877,23810,22514,25131,24881,24793,24311,24896,23847,20451,23674,24452,22388,24872,24350,25810,24508,22816,0.962196008007135
D13413_rna1_s_at,17139,18894,15341,15251,17136,19111,11793,21445,20275,21767,21755,16462,16412,31453,20521,16553,21379,20983,22464,21863,18183,16876,21600,16603,12753,20085,21390,20598,17170,17563,22007,22571,21596,24529,19495,10622,18224,16646,0.946898229147765
S79522_at,14205,11692,16152,13310,14571,11854,12943,13888,14029,14693,12769,13981,17903,19835,12522,15752,15525,14698,10908,15373,15166,10269,14368,12140,15328,15848,15430,15306,15379,13017,14447,17138,14338,12574,14641,10234,14803,15544,0.946545539486531
Z12962_at,16258,16017,17258,21839,18941,21422,17200,13949,16611,12980,19784,17364,11534,17004,19089,17425,17104,16959,21804,14570,17002,24528,13124,18969,16973,14992,26771,15993,28688,17519,14637,16728,14474,20657,13374,19274,16071,15942,0.942149834987084
X68277_at,3987,2825,7373,5648,7819,2162,5028,7081,4960,3236,859,5501,16079,10631,7516,8351,17076,9977,4920,6021,1854,1458,4562,4171,2545,2624,1043,5058,639,7331,8203,3902,13157,1422,7224,1007,8209,8432,0.933331294050488
L12168_at,3477,5036,3863,3810,2044,2118,2376,4086,2711,4749,2528,1972,3899,1821,1950,3094,2127,1891,2745,3509,3290,1735,3955,1334,1654,3849,1219,2789,1853,4208,1511,1651,2007,2533,3790,5285,3827,2247,0.933277885004022
X95404_at,12387,12183,11820,10573,12244,9264,10020,12151,13424,17529,7676,8018,14245,6768,8016,8173,8931,14746,12221,11446,15000,15237,16204,16445,12872,11905,9738,10802,8105,17347,13928,8840,9379,9110,17292,12236,12701,11383,0.932172707164674
M24194_at,16944,20411,19924,16665,19281,15346,18349,18596,22068,13997,24727,25933,17595,22233,21139,18221,17279,21410,25795,14183,19363,19403,19453,23133,20740,20225,19143,19389,17932,16987,19768,21441,18676,22370,18289,22569,19251,19120,0.931407003971258
HG1515-HT1515_f_at,2829,3935,3033,3839,2774,3696,3052,5917,4746,9194,3085,4367,10397,5112,3190,6100,4813,3175,3028,4197,3848,3362,7454,4415,6223,4972,4455,5662,3294,3695,4665,4015,5974,4981,5350,3622,4598,4656,0.920400580583993
X60036_at,4615,4858,6391,4129,3929,2447,3099,6915,5539,5873,3681,4513,10233,3722,4826,5403,2318,3472,3357,4999,4415,2937,7573,3851,5075,4105,3720,4650,2882,4446,5111,5984,5205,4336,5155,4356,3970,4772,0.91752300870401
X80822_at,14002,14490,16640,22242,17197,21201,17001,13074,16362,12966,16561,17232,11286,9673,18212,15518,16700,15796,20629,14512,15718,23235,13821,18876,16326,13925,20642,15084,21888,17075,15099,16906,14566,20054,12633,18740,15073,14937,0.914472122117865
U73379_at,1630,3025,1721,2115,1433,632,1539,2672,877,1590,2030,1019,1123,578,682,1310,853,889,1182,798,2108,1561,2375,2373,2773,1649,2610,1027,2260,2729,2085,1770,1685,782,892,1405,925,1706,0.904963604840617
L19527_at,15020,16768,17138,12483,16855,18169,17561,16403,16856,16103,17501,14847,15256,24472,18845,15864,18717,16467,18028,17275,15107,10903,16398,12320,16359,17067,12224,16236,13323,15007,16704,18337,16441,17704,15196,16610,17156,16019,0.896387928073804
AB000460_at,1647,2128,1608,1784,2911,1438,2256,1770,1732,3170,1288,1515,2701,1405,1839,2270,1403,1479,2324,2043,1996,1354,2116,1408,2116,1772,1435,2413,1632,1971,2043,1825,2175,976,1767,1939,1461,2816,0.886156856690699
AB003102_at,551,654,756,467,1014,304,881,925,480,1159,583,348,1235,326,541,791,387,366,627,739,884,769,842,439,1368,704,534,698,372,807,1145,618,586,467,683,750,600,742,0.876986734689666
Z26876_at,14113,13183,15733,17559,16046,18741,15392,15872,14160,13376,15097,15531,14007,22822,15325,17095,16232,13818,18657,15157,14557,17872,14903,14193,17035,15857,16827,16472,14980,15628,15021,16527,14177,18676,16731,16166,16021,13416,0.873334040569053
